Case ID,JiraId,Tags,Primary tag,Case,Issue2 Incomplete procedure,Issue3 Role/cross-app,Issue4 Unclear Expected/screens,Other-issue count,Clean of issues 2-4,Agent category tag?,Steps chars,Step count,Expected chars,Has login wording,Has hover wording,CSV field count,Gold closeness,Depth % of gold median
7965,FD-33675,search,search,"Verify that enabling ""Central Dispatch Enabled"" field does not change the ""Dispatch Type"" of existing loads.",N,N,N,0,Y,N,555,5,98,Y,N,1,34.9,15.0
196126,FD-40120,"admin,ltl",admin,Verify that data loads correctly after salesperson selection and user can either delete or approve the checked commoditi,N,N,N,0,Y,N,522,0,460,Y,N,1,32.0,14.1
171189,FD-36513,sharereport,sharereport,Dispatch Note hover preview remains unchanged (latest note only),N,N,N,0,Y,N,284,4,102,Y,Y,0,30.3,7.7
196127,FD-40120,"admin,ltl",admin,Verify that click on the switch to approved navigates user to Approved LTL Commodities page after salesperson selection ,N,N,N,0,Y,N,492,0,341,Y,N,1,30.2,13.3
24777,FD-33648,loadreports,loadreports,"Verify that the report accurately displays one row per stop, aligning with the format used in the STOP Report, ensuring ",N,N,N,0,Y,N,455,0,174,Y,N,1,27.7,12.3
7967,FD-33684,loadtemplates,loadtemplates,Verify that creating a template from a load captures the load’s Dispatch Type and Dispatch Office.,N,N,N,0,Y,N,207,2,90,Y,N,1,23.8,5.6
196130,FD-40120,"admin,ltl",admin,Verify that  result is not displayed until no salesperson is selected.,N,N,N,0,Y,N,236,0,271,Y,N,2,21.4,6.4
366524,FD-42729,customersearch,customersearch,Verify all supported Payment Term options can be selected and saved on Customer Master Record,N,N,N,0,Y,N,280,5,74,N,N,1,13.5,7.6
336595,CP-5840,"banyan,customerportal,hazmat,ltl",banyan,TC04: CP Banyan booking persists full hazmat details to approved_items,N,N,N,0,Y,Y,276,5,254,N,N,2,11.1,7.5
366479,FD-44878,happyrobot,happyrobot,Verify BTMS API: New HappyRobot load search endpoint returning load + carrier details for all matches,Y,Y,Y,3,N,N,2409,42,1247,N,Y,0,72.7,65.2
89381,FD-36167,commissionsincentives,commissionsincentives,Validate that a user can create a new Commission Incentive with Expiry Date left blank.,Y,N,Y,2,N,Y,751,10,218,Y,N,0,42.4,20.3
7719,FD-33073,search,search,"Verify when user  save & share report with Individual Viewer, Editor & Office Group with Updated Columns, the column con",Y,N,Y,2,N,N,620,16,107,Y,N,1,39.3,16.8
7716,FD-33073,search,search,"Verify when user  save & share report with Individual Viewer with Updated Columns, the column configuration for Viewer i",Y,N,N,1,N,N,595,16,80,Y,N,1,38.7,16.1
7718,FD-33073,search,search,"Verify when user  save & share report with Individual Editor with Updated Columns, the column configuration for Editor i",Y,N,N,1,N,N,595,16,80,Y,N,1,38.7,16.1
261947,FD-35941,"comchek,reports",comchek,Verify Advanced Sort by APPROVED DATE DESC works correctly,Y,N,Y,2,N,N,439,12,163,Y,N,0,37.1,11.9
89382,FD-36167,commissionsincentives,commissionsincentives,Validate that a user can edit an existing Commission Incentive with Expiry Date left blank.,Y,N,N,1,N,Y,526,5,211,Y,N,0,36.2,14.2
262052,FD-36185,"commissionsincentives,payables",commissionsincentives,Verify by creating a new Customer Incentive. If the selected customer already has an active incentive within the same in,Y,N,N,1,N,Y,227,9,368,N,Y,1,35.5,6.1
61622,FD-33357,bulkchange,bulkchange,Verify intermediate stops remain unchanged after location update for both (Origin and Destination).,Y,Y,Y,3,N,Y,444,10,84,Y,N,0,35.3,12.0
61577,FD-36679,passwordreset,passwordreset,Verify Password Reset Functionality,Y,N,N,1,N,N,463,10,62,Y,N,0,35.2,12.5
74446,FD-33356,bulkchange,bulkchange,"Verify that when the �Send Carrier Confirmation� method is selected as EMAIL, and the assigned carrier(s) on the non-ELT",Y,Y,N,2,N,Y,565,7,271,Y,N,0,35.0,15.3
89242,FD-36176,payables,payables,Validate recurring office adjustment is saved when 'Number to make' and 'Total' field is blank.,Y,N,N,1,N,N,548,7,177,Y,N,0,34.9,14.8
261950,FD-35941,"comchek,reports",comchek,Verify APPROVED DATE column is included in the downloaded Excel/CSV file,Y,N,N,1,N,N,493,8,220,Y,N,0,34.2,13.3
261945,FD-35941,"comchek,reports",comchek,Verify basic column sort (Descending) on APPROVED DATE column header,Y,N,N,1,N,N,458,9,165,Y,N,0,33.6,12.4
261944,FD-35941,"comchek,reports",comchek,Verify basic column sort (Ascending) on APPROVED DATE column header,Y,N,N,1,N,N,404,9,168,Y,N,0,33.2,10.9
261942,FD-35941,"comchek,reports",comchek,Verify report results return correctly when filtered by Approved Date range,Y,N,N,1,N,N,290,8,212,Y,N,0,32.6,7.8
7782,FD-32549,rateandmatch,rateandmatch,Verfity that below field are present on the Carrier and Rate Match IF Greenscreens is enabled for that office then:The G,Y,N,N,1,N,N,540,0,507,N,Y,1,32.0,14.6
7747,FD-33480,shipment,shipment,User should be able to perform BTMS extract after the load is created in Tritan,Y,N,N,1,N,N,429,8,47,Y,N,0,31.5,11.6
196378,FD-40398,billingqueue,billingqueue,Verify Delivered Date filter works with Doc RecD? toggle set to No,Y,N,N,1,N,N,150,5,60,Y,N,1,31.4,4.1
196377,FD-40398,billingqueue,billingqueue,Verify Delivered Date filter works with Doc RecD? toggle set to Yes,Y,N,N,1,N,N,151,5,57,Y,N,1,31.3,4.1
74447,FD-33356,bulkchange,bulkchange,"Verify that when the �Send Carrier Confirmation� method is selected as EMAIL, and the assigned carrier(s) on the non-ELT",Y,Y,N,2,N,Y,550,1,263,Y,N,0,31.3,14.9
196008,FD-42184,carrierportal,carrierportal,"Verify Edit Company Profile page loads for  ""WE MOVE CARGO LLC"" carrier.",N,Y,N,1,N,Y,315,6,80,Y,N,0,30.3,8.5
196011,FD-42184,carrierportal,carrierportal,"Verify Edit Company Profile page loads for""A K TRANSPORTATION INC"" carrier.",N,Y,N,1,N,Y,320,6,80,Y,N,0,30.3,8.7
61527,FD-33352,bulkchange,bulkchange,Verify that the system prevents submission and displays an appropriate error message when loads with methods other than ,Y,Y,N,2,N,Y,536,1,168,Y,N,1,29.9,14.5
171193,FD-36513,sharereport,sharereport,Modal note layout + formatting (two-column + timestamp/date formats + plain text note),Y,N,N,1,N,N,275,4,416,Y,N,1,29.4,7.4
67977,FD-33357,bulkchange,bulkchange,"Verify that the User has selected loads across multiple customers And  All locations, both Pick and Drop that meet the s",Y,Y,N,2,N,Y,385,1,213,Y,N,1,29.4,10.4
336480,FD-42750,highway,highway,Highway returns 'Verification Required' → contact is blocked from selection and NO audit entry is created,Y,N,N,1,N,N,334,6,208,Y,N,0,29.1,9.0
196374,FD-40398,billingqueue,billingqueue,Verify Billing Queue returns loads within selected Delivered Date range,Y,N,N,1,N,N,159,5,103,Y,N,0,29.0,4.3
27628,FD-33060,loadimportutility,loadimportutility,Verify Render Load Details for SUCCESS Status for bulk change.,Y,Y,N,2,N,N,446,1,59,Y,N,0,29.0,12.1
336489,FD-42750,highway,highway,Same email entered twice on the same load — verify whether duplicate entries are created,Y,N,N,1,N,N,318,8,149,Y,N,0,29.0,8.6
336476,FD-42750,highway,highway,Highway returns 'Verified' alert → audit entry is created in load history,Y,N,N,1,N,N,347,7,287,Y,N,1,28.8,9.4
336479,FD-42750,highway,highway,Highway returns 'Bad Actor' → contact is blocked from selection and NO audit entry is created,Y,N,N,1,N,N,322,6,196,Y,N,0,28.8,8.7
336477,FD-42750,highway,highway,Highway returns 'Identity Alert' → audit entry is created in load history,Y,N,N,1,N,N,333,7,281,Y,N,0,28.6,9.0
336478,FD-42750,highway,highway,Highway returns 'Informational' alert → audit entry is created in load history,Y,N,N,1,N,N,332,7,280,Y,N,0,28.6,9.0
196379,FD-40398,billingqueue,billingqueue,Verify Delivered Date filter works with Doc RecD? toggle set to Neutral,Y,N,N,1,N,N,155,5,64,Y,N,1,28.4,4.2
86946,FD-35559,sharereport,sharereport,"Verify that all selected viewers and editors of an office group are displayed for the shared report, along with any non-",N,Y,N,1,N,N,459,0,207,Y,N,0,28.2,12.4
27474,FD-34535,"agentsearch,sso",agentsearch,Verify dropdown does not preload all agents.,Y,N,N,1,N,N,306,3,87,Y,N,0,27.9,8.3
27485,FD-33389,"agentsearch,sso",agentsearch,Validate linking or delinking changes are saving properly and correctly reflecting.,Y,N,N,1,N,N,421,1,78,Y,N,0,27.9,11.4
117100,FD-34889,carrierportal,carrierportal,Verify SUPER_ADMIN role is assigned to each specified user (via UI/DB as available).,Y,Y,N,2,N,Y,193,4,63,Y,N,0,27.1,5.2
7692,FD-33266,search,search,"Verify that  the pop-up list shows only the 3rd Party BOL templates selected in ""Display Cust BOL Logo in"" on the Custom",Y,N,N,1,N,N,610,0,184,N,Y,1,27.0,16.5
125397,,"ltl,nmfc",ltl,"Validate the functionality of saving LTL Load when commodity class is missing with Load status= ""Active"".",Y,N,N,1,N,N,259,6,88,Y,N,1,26.9,7.0
125398,,"ltl,nmfc",ltl,"Validate the functionality of saving LTL Load when commodity class is missing with Load status= ""On Hold"".",Y,N,N,1,N,N,260,6,88,Y,N,1,26.9,7.0
117099,FD-34889,carrierportal,carrierportal,Verify SUPER_ADMIN users can log in successfully to Carrier Portal.,Y,Y,N,2,N,Y,132,3,107,Y,N,0,26.8,3.6
7994,FD-33698,passwordreset,passwordreset,Verify that the forgot password email is sent to the agent's actual email address in Staging and QC,Y,N,N,1,N,N,251,1,94,Y,N,0,26.8,6.8
196113,INV-168,customerportal,customerportal,Validate login without diagnostic_mode works normally,Y,N,N,1,N,N,83,3,110,Y,N,0,26.5,2.2
27505,FD-35574,loadreports,loadreports,Verify when editor changes the configuration of columns in the shared report by any of the following- 1.Adding columns  ,N,Y,N,1,N,N,1021,0,571,Y,N,0,26.4,27.6
27484,FD-33389,"agentsearch,sso",agentsearch,"Validate User is able to delink/remove the email id present in the dropdown of  ""SSO Account"" field.",Y,N,N,1,N,N,353,0,125,Y,N,0,26.3,9.5
89139,FD-39074,officeconfig,officeconfig,Verify all agents are available in dropdowns on first render without refresh under Individual Viewers.,N,Y,N,1,N,N,319,0,116,Y,N,0,25.9,8.6
89140,FD-39074,officeconfig,officeconfig,Verify all agents are available in dropdowns on first render without refresh under Individual Editors.,N,Y,N,1,N,N,319,0,116,Y,N,0,25.9,8.6
27513,FD-33640,sso,sso,Verify SSO Login Functionality,Y,N,N,1,N,N,121,1,64,Y,N,0,25.4,3.3
27471,FD-33262,"sso,switchaccount",sso,Check if users all agent accounts are sync with same email address.,Y,Y,N,2,N,N,312,0,75,Y,N,0,25.3,8.4
