Case ID,Field family count,CSV field families detected,Tags,Case,JiraId
336277,10,"consigneeName, customerName, equipmentType, loadId, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify when automatically Book a Load and that load is matched in TNX with waterfall configured, then a new link which d",FD-33783
171221,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads,postautomationrules",Verify that a load is correctly matched to an existing post?automation rule when the rule is created for an EDI?enabled ,FD-42835
171222,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads,postautomationrules",Verify that a load is correctly matched to an existing post?automation rule when the rule is created for an EDI?enabled ,FD-42835
171223,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads,postautomationrules",Verify that a load is correctly matched to an existing post?automation rule when the rule is created for an EDI?enabled ,FD-42835
171224,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads,postautomationrules",Verify that a load is correctly matched to an existing post?automation rule when the rule is created for an EDI?enabled ,FD-42835
171225,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads,postautomationrules",Verify that a load is correctly matched to an existing post?automation rule when the rule is created for an EDI?enabled ,FD-42835
171226,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads,postautomationrules",Verify that a load is correctly matched to an existing post?automation rule when the rule is created for an EDI?enabled ,FD-42835
171227,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads,postautomationrules",Verify that a load is correctly matched to an existing post?automation rule when the rule is created for an NON-EDI cust,FD-42835
171228,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads,postautomationrules",Verify that a load is correctly matched to an existing post?automation rule when the rule is created for an Non EDI cust,FD-42835
171229,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads,postautomationrules",Verify that a load is correctly matched to an existing post?automation rule when the rule is created for an Non EDI cust,FD-42835
171325,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads",Verify that a load is successfully posted to TNX,FD-42835
171326,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","dfb,loads",Verify that a load is successfully posted to DAT,FD-42835
196079,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify that a load is allowed to be posted to TNX when the Cargo Value is between $100,001 and $250,000, one or more car",FD-42022
196081,9,"consigneeName, customerName, equipmentType, loadMethod, offerRate_or_linehaul, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName","carriers,dfb,loads","Verify that a load does not allowed to be posted to TNX when the Cargo Value is between $100,001 and $250,000, one or mo",FD-42022
196261,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify a load matched in TNX, If the carrier user is NOT disabled and its Avenger Org is ON",FD-34836
196262,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify a load matched in TNX, If the carrier user is NOT disabled and its Hydrofarm Org is ON",FD-34836
196263,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify a load matched in TNX, If the carrier user is NOT disabled and its Mode Org is ON",FD-34836
196264,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify a load matched in TNX, If the carrier user is NOT disabled and its Suntecktts Org is ON",FD-34836
196265,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the load is canceled and is reposted to TNX, If the carrier user is NOT disabled and its Avenger Org is OFF",FD-34836
196266,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the load is canceled and is reposted to TNX, If the carrier user is NOT disabled and its Hydrofarm Org is OFF",FD-34836
196267,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the load is canceled and is reposted to TNX, If the carrier user is NOT disabled and its Suntecktss Org is OFF",FD-34836
196268,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the load is canceled and is reposted to TNX, If the carrier user is NOT disabled and its Mode Org is OFF",FD-34836
196269,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the load is canceled and is reposted to TNX, If the carrier user is Disabled",FD-34836
196270,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the load is canceled and is reposted to TNX, If the load is NOT allowed to be booked for that carrier(ON HOLD)",FD-34836
196271,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the load is canceled and is reposted to TNX, If the load is NOT allowed to be booked for that carrier(INACTIVE)",FD-34836
196272,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the load is canceled and is reposted to TNX, If the load is NOT allowed to be booked for that carrier(DNL)",FD-34836
196273,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the load is canceled and is reposted to TNX, If the carrier user's cargo limit is insufficient.",FD-34836
196274,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the Load process that has a Bid accepted in BTMS, If the carrier user is NOT disabled and its Avenger Org is ON",FD-34836
196275,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the Load process that has a Bid accepted in BTMS, If the carrier user is NOT disabled and its Hydrofarm Org is ON",FD-34836
196276,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the Load process that has a Bid accepted in BTMS, If the carrier user is NOT disabled and its Mode Org is ON",FD-34836
196277,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the Load process that has a Bid accepted in BTMS, If the carrier user is NOT disabled and its Suntecktts Org is O",FD-34836
196278,9,"consigneeName, customerName, equipmentType, loadMethod, officeName, shipmentCommodityQty, shipmentCommodityWeight, shipperName, shipperZip_or_consigneeZip","carriers,dfb,loads","Verify the Load process that has a Bid accepted in BTMS, If the carrier user is NOT disabled and its Avenger Org is OFF",FD-34836
