Test Script ID,customerName,shipperName,shipperAddress,shipperCity,shipperState,shipperCountry,shipperZip,shipperEarliestTime,shipperLatestTime,consigneeName,consigneeAddress,consigneeCity,consigneeCountry,consigneeZip,consigneeEarliestTime,consigneeLatestTime,flatCustRate,flatCarrierRate,commLength,commWidth,commHeight,commWeight,commQuantity,commDesc,commClass,rateTypeFlat,adjustmentValue,rateTypePCT,RateValue,carrierName,carrierID,proNumber,customerMasterID,type,simulatedSource,simulatedEvent,simulatedCity,simulatedState,simulatedZip,documentType,updatedClass,updatedWeight,updatedQuantity,bolDocLink,linearFeet,companyName
BANYAN-67933-36-39,ABB INC - MOLD 1070,ABB MOLD TRANSIT,111TELFAIRST,FOUNTAININN,,UnitedStates,12345,1000,1100,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,WOODSTOCK,Canada,23456,"""10:00""","""11:00""",500,400,12,13,15,50,2,PLASTIC MOLDING,50,Flat,100,PCT,SPOT,,,,,,,,,,,,,,,,,
BANYAN-67934-37,ABB INC - MOLD 1070,ABB MOLD TRANSIT,111TELFAIRST,FOUNTAININN,,UnitedStates,12345,1000,1100,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,WOODSTOCK,Canada,23456,"""10:00""","""11:00""",500,400,12,13,15,50,2,PLASTIC MOLDING,50,Flat,60,PCT,SPOT,,,,,,,,,,,,,,,,,
BANYAN-67935-38,ABB INC - MOLD 1070,ABB MOLD TRANSIT,111TELFAIRST,FOUNTAININN,,UnitedStates,12345,1000,1100,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,WOODSTOCK,Canada,23456,"""10:00""","""11:00""",500,400,12,13,15,50,2,PLASTIC MOLDING,50,Flat,100,PCT,SPOT,,,,,,,,,,,,,,,,,
BANYAN-67940-43-46,ABB INC - MOLD 1070,ABB MOLD TRANSIT,111TELFAIRST,FOUNTAININN,,UnitedStates,12345,1000,1100,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,WOODSTOCK,Canada,23456,"""10:00""","""11:00""",500,400,12,13,15,50,2,PLASTIC MOLDING,50,Flat,100,PCT,SPOT,,,,,,,,,,,,,,,,,
BANYAN-67941-44,ABB INC - MOLD 1070,ABB MOLD TRANSIT,111TELFAIRST,FOUNTAININN,,UnitedStates,12345,1000,1100,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,WOODSTOCK,Canada,23456,"""10:00""","""11:00""",500,400,12,13,15,50,2,PLASTIC MOLDING,50,Flat,60,PCT,SPOT,,,,,,,,,,,,,,,,,
BANYAN-67942-45,ABB INC - MOLD 1070,ABB MOLD TRANSIT,111TELFAIRST,FOUNTAININN,,UnitedStates,12345,1000,1100,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,WOODSTOCK,Canada,23456,"""10:00""","""11:00""",500,400,12,13,15,50,2,PLASTIC MOLDING,50,Flat,60,PCT,SPOT,,,,,,,,,,,,,,,,,
BANYAN-67947,ABB INC - MOLD 1070,ABB MOLD TRANSIT,111TELFAIRST,FOUNTAININN,,UnitedStates,12345,1000,1100,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,WOODSTOCK,Canada,23456,"""10:00""","""11:00""",500,400,12,13,15,50,2,PLASTIC MOLDING,50,Flat,100,PCT,SPOT,,,,,,,,,,,,,,,,,
BANYAN-67951,ABB INC - MOLD 1070,ABB MOLD TRANSIT,111TELFAIRST,FOUNTAININN,,UnitedStates,12345,1000,1100,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,WOODSTOCK,Canada,23456,"""10:00""","""11:00""",500,400,12,13,15,50,2,PLASTIC MOLDING,50,Flat,100,PCT,SPOT,,,,,,,,,,,,,,,,,
BANYAN-67953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANYAN-67954,ABB INC - MOLD 1071,ABB MOLD TRANSIT,111TELFAIRST,,,,12345,,,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,,,23456,,,,,12,13,15,50,2,PLASTIC MOLDING,,,,,,,,,,,,,,,,,,,,,,
BANYAN-67955,,,,,,,12345,,,,,,,,"""10:00""",,,,,,,,,,,,,,,,,"""10.30.20""",,,,,,,,,,,,,,
BANYAN-67956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANYAN-67957,ABB INC - MOLD 1071,ABB MOLD TRANSIT,111TELFAIRST,,,,54914,,,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,,,21740,,,,,12,13,15,50,2,PLASTIC MOLDING,,,,,,,,,,,,,,,,,,,,,,
BANYAN-67958,,,,,,,54914,,,,,,,,"""10:00""",,,,,,,,,,,,,,,,,"""10.30.20""",,,,,,,,,,,,,,
BANYAN-74497,AARON INDUSTRIES INC - 7820,ABB MOLD TRANSIT,111TELFAIRST,,,,12345,,,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,,,23456,,,,,12,13,15,50,2,PLASTIC MOLDING,,,,,,,,,,BAGS,,,,,,,,,,,,
BANYAN-74523,AARON INDUSTRIES INC - 7820,ABB MOLD TRANSIT,111TELFAIRST,,,,12345,,,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,,,23456,,,,,12,13,15,50,2,PLASTIC MOLDING,,,,,,,,,,BAGS,,,,,,,,,,,,
BANYAN-67948,ABB INC - MOLD 1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANYAN-67952,HYDROFARM WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R&L CARRIERS,"""00099074""","""10.30.25""",51415,,,,,,,,,,,,,
BANYAN-74495,HYDROFARM WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51415,,,,,,,,,,,,,
BANYAN-74500,HYDROFARM WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R&L CARRIERS,"""00099074""","""10.30.25""",51415,,,,,,,,,,,,,
BANYAN-67950,ABB INC - MOLD 1070,,,,,,12345,,,,,,,23456,,,,,120,130,150,15000,20,PLASTIC MOLDING,,,,,,,,,,,,,,,,,,,,,99,
BANYAN-67949,KUEHNE + NAGEL - JERSEY CITY NJ LTL,,,,,,30337,,,,,,,38237,,,,,40,48,40,10000,2,PLASTIC MOLDING,,,,,,,,,,,,,,,,,,,,,,
BANYAN-74510,ABB INC - MOLD 1070,ABB MOLD TRANSIT,111TELFAIRST,FOUNTAININN,,UnitedStates,12345,1000,1100,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,WOODSTOCK,Canada,23456,"""10:00""","""11:00""",500,400,12,13,15,50,2,PLASTIC MOLDING,50,Flat,100,PCT,SPOT,,,,,,Banyan,*X6,Philadelphia,PA,19019,,,,,,,
BANYAN-74503,ABB INC - MOLD 1070,ABB MOLD TRANSIT,111TELFAIRST,FOUNTAININN,,UnitedStates,12345,1000,1100,ABB MOLD TRANSIT,478INDUSTRIALAVENUE,WOODSTOCK,Canada,23456,"""10:00""","""11:00""",500,400,12,13,15,50,2,PLASTIC MOLDING,50,Flat,100,PCT,SPOT,,,,,,,,,,,,,,,,,
