Test Script ID,senderAsID,sender204ID,ship,customerName,customerMasterID,pick1EDI,actualTimeP1,actualTimeP2,pick1Name,pick1Address,pick1City,pick1State,pick1Zip,pick1Contact,pick1Email,pick1Phone,pick1Item1Qty,pick1Item1PO,pick1Item1Weight,pick1Item2Qty,pick1Item2PO,pick1Item2Weight,pick1Item3Qty,pick1Item3PO,pick1Item3Weight,pick1Item4Qty,pick1Item4PO,pick1Item4Weight,drop1EDI,drop1TimeD1,drop1TimeD2,drop1Name,drop1Address,drop1City,drop1State,drop1Zip,drop1Contact,drop1Email,drop1Phone,drop1Item1Qty,drop1Item1PO,drop1Item1Weight,drop1Item2Qty,drop1Item2PO,drop1Item2Weight,carrier1Number,carrier1Name,carrier2Number,carrier2Name,containerCode,item1Qty,item1Type,stcc,item1Weight,spq,service,rrPlan,cofc_Tofc,carrier2Stop1,carrier2Stop2,routeCode,notifyParty,carrier3Number,carrier3Name,carrier1EdiType,carrier1EdiInOut,carrier1EdiStatus,carrier2EdiType,carrier2EdiInOut,carrier2EdiStatus,carrier3EdiType,carrier3EdiInOut,carrier3EdiStatus,railCarrierName,railCarrierEdiType,railCarrierEdiInOut,railCarrierEdiStatus,customerEdiStatus,invoiceAmount,invoiceStatus,customerId,rateType,customerLinehaulRate,fuelSurcharge,carrierLinehaulRate,itemDescription,shipperName,emailData,driverName,dispatchName
EDI-25160,TODL,5084758255,IM_V,MARMAXX GROUP,"""36586""","""06V0006110""","""01:00""","""21:00""",HOME ESSENTIALS AND BEYOND INC,200 THEODORE CONRAD DRIVE,JERSEY CITY,NJ,"""7305""",OPERATIONS,SHIPPING@HOMEESS.COM,732-590-3600,4,"""70411652""","""5393""",22,"""70411641""","""11981""",,,,,,,28W0887A,"""01:00""","""23:00""",BROWNSBURG DC,850 EAST NORTHFIELD DRIVE,BROWNSBURG,IN,"""46112""",Michal Thurman,ML-BBurg_Trans@tjx.com,317-858-6863,4,"""70411652""","""5393""",22,"""70411641""","""11981""","""00103798""","""MARTEN TRANSPORT, LTD.""","""00152494""","""CSX INTERMODAL TERMINALS INC """,AUTO,1,CONTAINER,FAK,"""17374""",SPQ,RR,25,COFC,85,147,CSXT,Destination Drayman,"""00135797""","""JB HUNT TRANSPORT, INC DBA JB HUNT""",204,Out,Original,404,Out,Original,204,Out,Original,CSX INTERMODAL TERMINALS INC ,824,In,Accepted,X3:AT ORIGIN,,,,,,,,,,,,
EDI-25180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""700.50""",Pending,,,,,,,,,,
EDI-25181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""700.50""",Pending,,,,,,,,,,
EDI-25182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""00110983""",A.K.A. TRANSPORTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""700.50""",,,,,,,,,,,
EDI-25183,,,,FORD MOTOR C/O CASS INFO SYSTEMS,"""38041""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""98204""",,,,,,,,,
EDI-25168,,,,FORD MOTOR C/O CASS INFO SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDI-25169,AVGD,PSKL,"""603662726""",FORD MOTOR C/O CASS INFO SYSTEMS,"""38041""",B556C,"""08:30""","""08:30""",ROBERT BOSCH,100 EXCHANGE LOGISTICS PARK DRIVE,PIEDMONT,SC,"""29673""",,,,1,"""727273425""","""40000""",1,"""727451014""",,,,,,,,J249A,"""08:45""","""08:45""",JAY SHOP INC,242 CESAR E. CHAVEZ,PONTIAC,MI,"""48342""",,,,1,"""727273425""",,1,"""727451014""",,"""00103798""","""MARTEN TRANSPORT, LTD.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDI-25170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""00103798""","""MARTEN TRANSPORT, LTD.""",,,,,,,,,,,,,,,,,,204,Out,Original,,,,,,,,,,,,,,,,,,,,,,,
EDI-25171,,,,FORD MOTOR C/O CASS INFO SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""00103798""","""MARTEN TRANSPORT, LTD.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDI-25172,,,,FORD MOTOR C/O CASS INFO SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""00103798""","""MARTEN TRANSPORT, LTD.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
