Test Script ID,Title,Description,Category,Priority,Steps,Expected Results,Tags,officeName,customerName,shipperName,consigneeName,salesAgent,equipmentType,shipperZip,consigneeZip,offerRate,cargoValue
DFB-001,Create DFB Load with High Cargo Value,Create a non-tabular load with cargo value between $100001 and $250000,dfb,high,"1. Login to BTMS;2. Navigate to Loads;3. Create new non-tabular load;4. Enter cargo value as 150000;5. Save and verify load","Load should be created successfully;Cargo value should display as $150,000;Load status should be Active","@dfb,@smoke,@regression",Mode Office 1,Test Customer,ABC Shipper,XYZ Consignee,John Doe,Van,10001,90210,1500,150000
DFB-002,Verify TNX Post Automation,Test post automation rule with carrier waterfall setup,dfb,medium,"1. Login to BTMS;2. Setup post automation rule;3. Configure carrier waterfall;4. Create load matching rule;5. Post to TNX;6. Verify auto-post to TNX","Post automation should trigger;Load should appear in TNX;Carrier waterfall should execute","@dfb,@automation",Mode Office 1,Test Customer,Shipper 2,Consignee 2,Jane Smith,Flatbed,20001,80210,2000,50000
DFB-003,Create Load and Verify in DME,Create load and verify it appears in DME dashboard,dfb,high,"1. Login to BTMS;2. Navigate to Loads;3. Create new non-tabular load;4. Save and verify load;5. Get load number;6. Verify load in DME","Load created successfully;Load appears in DME dashboard;DME status is correct","@dfb,@dme,@regression",Mode Office 2,Customer DME,DME Shipper,DME Consignee,Bob Wilson,Reefer,30001,70210,2500,200000
DFB-004,Post Load to TNX with Offer Rate,Post a load to TNX with specific offer rate,dfb,medium,"1. Login to BTMS;2. Navigate to Loads;3. Create new non-tabular load;4. Enter offer rate as 1800;5. Post to TNX;6. Verify post status","Load posted to TNX;Offer rate displayed correctly;Post status is Posted","@dfb,@tnx",Mode Office 1,TNX Customer,TNX Shipper,TNX Consignee,Alice Brown,Van,40001,60210,1800,75000
EDI-001,Process 204 Load Tender,Verify EDI 204 load tender processing and 990 response,edi,critical,"1. Login to BTMS;2. Navigate to EDI queue;3. Receive 204 tender via EDI;4. Verify tender appears in queue;5. Accept the tender;6. Verify 990 acknowledgment sent;7. Check load creation","204 tender should be processed;990 should be sent automatically;Load should be created from tender","@edi,@critical",EDI Office,EDI Customer,EDI Shipper,EDI Consignee,EDI Agent,Van,50001,50210,1200,30000
EDI-002,Reject 204 Load Tender,Test rejecting an EDI 204 tender,edi,high,"1. Login to BTMS;2. Navigate to EDI queue;3. Receive 204 tender;4. Reject the tender;5. Verify 990 rejection sent","Tender rejected;990 rejection sent","@edi,@rejection",EDI Office,EDI Customer 2,Reject Shipper,Reject Consignee,EDI Agent 2,Flatbed,55001,55210,1000,25000
COM-001,Verify Commission Calculation,Verify commission is calculated correctly for a load,commission,high,"1. Login to BTMS;2. Navigate to Finance;3. Search for commission report;4. Verify commission amount;5. Check internal share calculation","Commission calculated correctly;Internal share is accurate","@commission,@finance",Commission Office,Commission Customer,Comm Shipper,Comm Consignee,Comm Agent,Van,60001,40210,3000,100000
SL-001,Create New Sales Lead,Create a new sales lead and verify status,salesLead,medium,"1. Login to BTMS;2. Navigate to Customer;3. Click New Sales Lead;4. Enter lead information;5. Save lead;6. Verify lead created","Sales lead created;Lead status is New;Lead appears in queue","@salesLead,@customer",Sales Office,New Lead Customer,Lead Shipper,Lead Consignee,Sales Agent,Reefer,70001,30210,2200,45000
CAR-001,Verify Carrier Status,Verify carrier status and profile information,carrier,medium,"1. Login to BTMS;2. Navigate to Carrier;3. Search for carrier;4. Verify carrier status;5. Check carrier profile","Carrier found;Status is Active;Profile information correct","@carrier,@search",Carrier Office,Carrier Customer,Carrier Shipper,Carrier Consignee,Carrier Agent,Van,80001,20210,1600,60000
BULK-001,Bulk Update Load Status,Perform bulk status update on multiple loads,bulkChange,low,"1. Login to BTMS;2. Navigate to Loads;3. Select multiple loads;4. Click Bulk Change;5. Update status;6. Verify changes applied","All loads updated;Status changed correctly","@bulk,@admin",Bulk Office,Bulk Customer,Bulk Shipper,Bulk Consignee,Bulk Agent,Flatbed,90001,10210,1900,80000
